card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-048,937,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-048_p1.png,FETCH_NEEDED
OP01-051,944,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-051_alt.png,FETCH_NEEDED
OP01-051,948,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-051_alt.png,FETCH_NEEDED
OP01-051,946,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-051_p2.png,FETCH_NEEDED
OP01-051,947,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-051_p4.png,FETCH_NEEDED
OP01-051,950,promo,0,0,0,0,0,0,0,1,P/base/OP01-051.png,FETCH_NEEDED
OP01-051,949,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-051.png,DISK_MATCH_FOUND
OP01-052,953,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-052_alt.png,FETCH_NEEDED
OP01-052,954,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-052_alt.png,FETCH_NEEDED
OP01-052,958,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-052_alt.png,FETCH_NEEDED
OP01-052,955,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-052_p1.png,FETCH_NEEDED
OP01-052,956,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-052_p3.png,FETCH_NEEDED
OP01-052,957,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-052_p4.png,FETCH_NEEDED
OP01-052,959,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-052.png,DISK_MATCH_FOUND
OP01-055,966,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-055_p1.png,FETCH_NEEDED
OP01-055,967,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-055.png,DISK_MATCH_FOUND
OP01-057,972,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-057_alt.png,FETCH_NEEDED
OP01-057,973,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-057_p1.png,FETCH_NEEDED
OP01-060,980,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-060_alt.png,FETCH_NEEDED
OP01-060,983,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-060_alt.png,FETCH_NEEDED
OP01-060,982,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-060_p2.png,FETCH_NEEDED
OP01-061,986,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-061_alt.png,FETCH_NEEDED
OP01-062,990,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-062_alt.png,FETCH_NEEDED
OP01-064,996,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-064_alt.png,FETCH_NEEDED
OP01-064,997,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-064_p1.png,FETCH_NEEDED
OP01-067,1004,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-067_alt.png,FETCH_NEEDED
OP01-070,1012,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-070_alt.png,FETCH_NEEDED
OP01-070,1013,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-070_alt.png,FETCH_NEEDED
OP01-070,1017,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-070_alt.png,FETCH_NEEDED
OP01-070,1015,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-070_p2.png,FETCH_NEEDED
OP01-070,1016,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-070_p4.png,FETCH_NEEDED
OP01-070,1018,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-070.png,DISK_MATCH_FOUND
OP01-073,1025,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-073_alt.png,FETCH_NEEDED
OP01-073,1027,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-073_p2.png,FETCH_NEEDED
OP01-073,1028,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-073.png,DISK_MATCH_FOUND
OP01-073,1029,sp,0,1,0,0,0,0,0,0,OP01/sp/OP01-073_sp.png,FETCH_NEEDED
OP01-077,1038,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-077_alt.png,FETCH_NEEDED
OP01-077,1039,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-077_alt.png,FETCH_NEEDED
